,Match_No,Date,year,month,Month_name,day,DayOfWeek,Week_Type,Match,Team_1,Team_2,Location,Result,Winning_Team,Winning_mode,Winning_Margin,Team_Batting_First
0,1,2019-03-23,2019,3,March,Saturday,5,Weekend,1st Match: Chennai Super Kings v Royal Challengers Bangalore,Chennai Super Kings , Royal Challengers Bangalore,Chennai,Chennai Super Kings won by 7 Wickets,Chennai Super Kings ,Wickets,7, Royal Challengers Bangalore
1,2,2019-03-24,2019,3,March,Sunday,6,Weekend,2nd Match: Kolkata Knight Riders v Sunrisers Hyderabad,Kolkata Knight Riders , Sunrisers Hyderabad,Kolkata,Kolkata Knight Riders won by 6 Wickets,Kolkata Knight Riders ,Wickets,6, Sunrisers Hyderabad
2,3,2019-03-24,2019,3,March,Sunday,6,Weekend,3rd Match: Mumbai Indians v Delhi Capitals,Mumbai Indians , Delhi Capitals,Mumbai,Delhi Capitals won by 37 Runs,Delhi Capitals ,Runs,37, Delhi Capitals
3,4,2019-03-25,2019,3,March,Monday,0,Weekday,4th Match: Rajasthan Royals v Kings XI Punjab,Rajasthan Royals , Kings XI Punjab,Jaipur,Kings XI Punjab won by 14 Runs,Kings XI Punjab ,Runs,14, Kings XI Punjab
4,5,2019-03-26,2019,3,March,Tuesday,1,Weekday,5th Match: Delhi Capitals v Chennai Super Kings,Delhi Capitals , Chennai Super Kings,Delhi,Chennai Super Kings won by 6 Wickets,Chennai Super Kings ,Wickets,6, Chennai Super Kings
5,6,2019-03-27,2019,3,March,Wednesday,2,Weekday,6th Match: Kolkata Knight Riders v Kings XI Punjab,Kolkata Knight Riders , Kings XI Punjab,Kolkata,Kolkata Knight Riders won by 28 Runs,Kolkata Knight Riders ,Runs,28, Kings XI Punjab
6,7,2019-03-28,2019,3,March,Thursday,3,Weekday,7th Match: Royal Challengers Bangalore v Mumbai Indians,Royal Challengers Bangalore , Mumbai Indians,"Bengaluru, Bangalore",Mumbai Indians won by 6 Runs,Mumbai Indians ,Runs,6, Mumbai Indians
7,8,2019-03-29,2019,3,March,Friday,4,Weekday,8th Match: Sunrisers Hyderabad v Rajasthan Royals,Sunrisers Hyderabad , Rajasthan Royals,Hyderabad,Sunrisers Hyderabad won by 5 Wickets,Sunrisers Hyderabad ,Wickets,5, Rajasthan Royals
8,9,2019-03-30,2019,3,March,Saturday,5,Weekend,10th Match: Delhi Capitals v Kolkata Knight Riders, Delhi Capitals , Kolkata Knight Riders,Delhi,Match tied (Delhi Capitals won eliminator),Match tied (Delhi Capitals ,Match tied (Delhi Capitals won eliminator),Match tied (Delhi Capitals won eliminator), Kolkata Knight Riders
9,10,2019-03-30,2019,3,March,Saturday,5,Weekend,9th Match: Kings XI Punjab v Mumbai Indians,Kings XI Punjab , Mumbai Indians,"Mohali, Chandigarh",Kings XI Punjab won by 8 Wickets,Kings XI Punjab ,Wickets,8, Mumbai Indians
10,11,2019-03-31,2019,3,March,Sunday,6,Weekend,11th Match: Sunrisers Hyderabad v Royal Challengers Bangalore, Sunrisers Hyderabad , Royal Challengers Bangalore,Hyderabad,Sunrisers Hyderabad won by 118 Runs,Sunrisers Hyderabad ,Runs,118, Royal Challengers Bangalore
11,12,2019-03-31,2019,3,March,Sunday,6,Weekend,12th Match: Chennai Super Kings v Rajasthan Royals, Chennai Super Kings , Rajasthan Royals,Chennai,Chennai Super Kings won by 8 Runs,Chennai Super Kings ,Runs,8, Rajasthan Royals
12,13,2019-01-04,2019,1,January,Friday,4,Weekday,13th Match: Kings XI Punjab v Delhi Capitals, Kings XI Punjab , Delhi Capitals,"Mohali, Chandigarh",Kings XI Punjab won by 14 Runs,Kings XI Punjab ,Runs,14, Delhi Capitals
